"Six Digit Industries","Year","Capital productivity (2007=100)","Capital productivity (percent change)","Capital (2007=100)","Capital (percent change)","Capital costs (Million $)","Capital costs (percent change)","Capital cost share","Capital cost share (percent change)","Capital intensity (2007=100)","Capital intensity (percent change)","Contribution of capital intensity (2007=100)","Contribution of capital intensity (percent change)","Labor productivity (2007=100)","Labor productivity (percent change)","Hours worked (2007=100)","Hours worked (percent change)","Labor compensation (Million $)","Labor compensation (percent change)","Labor cost share","Labor cost share (percent change)","Hours worked (millions)","Hours worked (percent change)","Multifactor productivity (2007=100)","Multifactor productivity (percent change)","Combined inputs (2007=100)","Combined inputs (percent change)","Combined inputs costs (Million $)","Combined inputs costs (percent change)","Implicit combined inputs deflator (2007=100)","Implicit combined inputs deflator (percent change)","Intermediate purchases productivity (2007=100)","Intermediate purchases productivity (percent change)","Intermediate purchases (2007=100)","Intermediate purchases (percent change)","Intermediate purchases costs (Million $)","Intermediate purchases costs (percent change)","Intermediate purchases cost share","Intermediate purchases cost share (percent change)","Intermediate purchases to hours ratio (2007=100)","Intermediate purchases to hours ratio (percent change)","Contribution of intermediate purchases intensity (2007=100)","Contribution of intermediate purchases intensity (percent change)","Output (2007=100)","Output (percent change)","Implicit output deflator (2007=100)","Implicit output deflator (percent change)","Value of production (Million $)","Value of production (percent change)","Unit labor costs (2007=100)","Unit labor costs (percent change)","Labor compensation (2007=100)","Labor compensation (percent change)","Hourly compensation (2007=100)","Hourly compensation (percent change)","Output per employee (2007=100)","Output per employee (percent change)","Employment (2007=100)","Employment (percent change)","Employment (thousands)","Employment (percent change)"
113310 - Logging,2014,,,,,,,,,,,,,,,82.750,-2.0,,,,,147.288,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.422,-7.3,71.000,-7.3
113310 - Logging,2015,,,,,,,,,,,,,,,74.925,-9.5,,,,,133.361,-9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.936,-10.4,63.600,-10.4
113310 - Logging,2016,,,,,,,,,,,,,,,85.019,13.5,,,,,151.327,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.243,8.6,69.100,8.6
113310 - Logging,2017,,,,,,,,,,,,,,,75.673,-11.0,,,,,134.693,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.638,-2.0,67.700,-2.0
113310 - Logging,2018,,,,,,,,,,,,,,,85.751,13.3,,,,,152.631,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.881,5.5,71.400,5.5
113310 - Logging,2019,,,,,,,,,,,,,,,83.399,-2.7,,,,,148.444,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.358,-3.1,69.200,-3.1
113310 - Logging,2020,,,,,,,,,,,,,,,63.001,-24.5,,,,,112.138,-24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.317,-15.2,58.700,-15.2
114210 - Hunting and trapping,1987,,,,,,,,,,,,,,,93.703,,,,,,10.910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.238,,6.000,
114210 - Hunting and trapping,1988,,,,,,,,,,,,,,,76.945,-17.9,,,,,8.959,-17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.249,-17.4,4.900,-18.3
114210 - Hunting and trapping,1989,,,,,,,,,,,,,,,83.712,8.8,,,,,9.747,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.359,0.1,4.900,0.0
114210 - Hunting and trapping,1990,,,,,,,,,,,,,,,98.436,17.6,,,,,11.461,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.109,20.8,6.000,22.4
114210 - Hunting and trapping,1991,,,,,,,,,,,,,,,95.112,-3.4,,,,,11.074,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.059,-3.7,5.700,-5.0
114210 - Hunting and trapping,1992,,,,,,,,,,,,,,,84.446,-11.2,,,,,9.833,-11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.047,-5.7,5.400,-5.3
114210 - Hunting and trapping,1993,,,,,,,,,,,,,,,91.250,8.1,,,,,10.625,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.189,4.2,5.600,3.7
114210 - Hunting and trapping,1994,,,,,,,,,,,,,,,77.198,-15.4,,,,,8.989,-15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.400,-7.5,5.200,-7.1
114210 - Hunting and trapping,1995,,,,,,,,,,,,,,,87.153,12.9,,,,,10.148,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.625,12.8,5.900,13.5
114210 - Hunting and trapping,1996,,,,,,,,,,,,,,,96.698,11.0,,,,,11.259,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.845,0.2,5.900,0.0
114210 - Hunting and trapping,1997,,,,,,,,,,,,,,,85.963,-11.1,,,,,10.009,-11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.711,-11.3,5.200,-11.9
114210 - Hunting and trapping,1998,,,,,,,,,,,,,,,93.662,9.0,,,,,10.906,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.988,7.6,5.600,7.7
114210 - Hunting and trapping,1999,,,,,,,,,,,,,,,109.421,16.8,,,,,12.741,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.768,15.3,6.500,16.1
114210 - Hunting and trapping,2000,,,,,,,,,,,,,,,109.434,0.0,,,,,12.742,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.235,1.2,6.600,1.5
114210 - Hunting and trapping,2001,,,,,,,,,,,,,,,116.558,6.5,,,,,13.572,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.982,3.9,6.800,3.0
114210 - Hunting and trapping,2002,,,,,,,,,,,,,,,110.585,-5.1,,,,,12.876,-5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.839,-3.3,6.600,-2.9
114210 - Hunting and trapping,2003,,,,,,,,,,,,,,,95.231,-13.9,,,,,11.088,-13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.582,-13.5,5.700,-13.6
114210 - Hunting and trapping,2004,,,,,,,,,,,,,,,87.334,-8.3,,,,,10.169,-8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.031,-7.2,5.300,-7.0
114210 - Hunting and trapping,2005,,,,,,,,,,,,,,,116.280,33.1,,,,,13.539,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.174,37.2,7.300,37.7
114210 - Hunting and trapping,2006,,,,,,,,,,,,,,,95.335,-18.0,,,,,11.100,-18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.765,-21.3,5.700,-21.9
114210 - Hunting and trapping,2007,,,,,,,,,,,,,,,100.000,4.9,,,,,11.644,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.000,-4.5,5.500,-3.5
114210 - Hunting and trapping,2008,,,,,,,,,,,,,,,93.714,-6.3,,,,,10.912,-6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.326,-4.7,5.200,-5.5
114210 - Hunting and trapping,2009,,,,,,,,,,,,,,,84.391,-9.9,,,,,9.826,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.909,-4.6,5.000,-3.8
114210 - Hunting and trapping,2010,,,,,,,,,,,,,,,74.487,-11.7,,,,,8.673,-11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.004,-12.0,4.400,-12.0
114210 - Hunting and trapping,2011,,,,,,,,,,,,,,,75.909,1.9,,,,,8.839,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.486,4.4,4.600,4.5
114210 - Hunting and trapping,2012,,,,,,,,,,,,,,,72.133,-5.0,,,,,8.399,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.018,0.6,4.600,0.0
114210 - Hunting and trapping,2013,,,,,,,,,,,,,,,93.686,29.9,,,,,10.908,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.087,23.9,5.700,23.9
114210 - Hunting and trapping,2014,,,,,,,,,,,,,,,76.077,-18.8,,,,,8.858,-18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.960,-17.4,4.700,-17.5
114210 - Hunting and trapping,2015,,,,,,,,,,,,,,,107.412,41.2,,,,,12.507,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.386,24.9,5.900,25.5
114210 - Hunting and trapping,2016,,,,,,,,,,,,,,,84.562,-21.3,,,,,9.846,-21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.905,-20.0,4.700,-20.3
114210 - Hunting and trapping,2017,,,,,,,,,,,,,,,85.837,1.5,,,,,9.995,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.023,11.8,5.200,10.6
114210 - Hunting and trapping,2018,,,,,,,,,,,,,,,88.935,3.6,,,,,10.355,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.239,-5.0,5.000,-3.8
114210 - Hunting and trapping,2019,,,,,,,,,,,,,,,85.564,-3.8,,,,,9.963,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.956,-1.4,4.900,-2.0
114210 - Hunting and trapping,2020,,,,,,,,,,,,,,,75.202,-12.1,,,,,8.756,-12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.282,4.8,5.100,4.1
115210 - Support activities for animal production,1987,,,,,,,,,,,,,,,100.401,,,,,,97.937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.803,,46.600,
115210 - Support activities for animal production,1988,,,,,,,,,,,,,,,102.516,2.1,,,,,100.000,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.059,1.3,47.100,1.1
115210 - Support activities for animal production,1989,,,,,,,,,,,,,,,106.231,3.6,,,,,103.624,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.197,1.1,47.700,1.3
115210 - Support activities for animal production,1990,,,,,,,,,,,,,,,102.213,-3.8,,,,,99.705,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.221,-2.0,46.800,-1.9
115210 - Support activities for animal production,1991,,,,,,,,,,,,,,,104.002,1.8,,,,,101.449,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.902,1.7,47.500,1.5
115210 - Support activities for animal production,1992,,,,,,,,,,,,,,,98.883,-4.9,,,,,96.456,-4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.029,-5.8,44.800,-5.7
115210 - Support activities for animal production,1993,,,,,,,,,,,,,,,104.664,5.8,,,,,102.096,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.811,5.0,47.000,4.9
115210 - Support activities for animal production,1994,,,,,,,,,,,,,,,104.570,-0.1,,,,,102.003,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.768,7.0,50.300,7.0
115210 - Support activities for animal production,1995,,,,,,,,,,,,,,,103.514,-1.0,,,,,100.974,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.120,-2.5,49.100,-2.4
115210 - Support activities for animal production,1996,,,,,,,,,,,,,,,104.878,1.3,,,,,102.304,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.099,3.8,50.900,3.7
115210 - Support activities for animal production,1997,,,,,,,,,,,,,,,103.681,-1.1,,,,,101.136,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.602,-4.2,48.800,-4.1
115210 - Support activities for animal production,1998,,,,,,,,,,,,,,,95.388,-8.0,,,,,93.047,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.653,-5.7,46.000,-5.7
115210 - Support activities for animal production,1999,,,,,,,,,,,,,,,93.502,-2.0,,,,,91.207,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.420,-1.3,45.400,-1.3
115210 - Support activities for animal production,2000,,,,,,,,,,,,,,,96.261,3.0,,,,,93.899,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.115,-2.4,44.300,-2.4
115210 - Support activities for animal production,2001,,,,,,,,,,,,,,,99.451,3.3,,,,,97.011,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.634,8.0,47.900,8.1
115210 - Support activities for animal production,2002,,,,,,,,,,,,,,,88.818,-10.7,,,,,86.638,-10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.540,-8.9,43.600,-9.0
115210 - Support activities for animal production,2003,,,,,,,,,,,,,,,107.484,21.0,,,,,104.846,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.753,15.4,50.300,15.4
115210 - Support activities for animal production,2004,,,,,,,,,,,,,,,108.253,0.7,,,,,105.597,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.019,4.9,52.800,5.0
115210 - Support activities for animal production,2005,,,,,,,,,,,,,,,102.176,-5.6,,,,,99.668,-5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.162,-7.0,49.100,-7.0
115210 - Support activities for animal production,2006,,,,,,,,,,,,,,,103.471,1.3,,,,,100.932,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.201,-2.8,47.700,-2.9
115210 - Support activities for animal production,2007,,,,,,,,,,,,,,,100.000,-3.4,,,,,97.546,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.000,-1.2,47.100,-1.3
115210 - Support activities for animal production,2008,,,,,,,,,,,,,,,107.244,7.2,,,,,104.612,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.526,7.5,50.700,7.6
115210 - Support activities for animal production,2009,,,,,,,,,,,,,,,99.637,-7.1,,,,,97.192,-7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.349,-9.5,45.900,-9.5
115210 - Support activities for animal production,2010,,,,,,,,,,,,,,,95.844,-3.8,,,,,93.491,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.994,-3.4,44.300,-3.5
115210 - Support activities for animal production,2011,,,,,,,,,,,,,,,90.548,-5.5,,,,,88.326,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.419,-2.7,43.100,-2.7
115210 - Support activities for animal production,2012,,,,,,,,,,,,,,,101.368,11.9,,,,,98.880,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.902,10.4,47.500,10.2
115210 - Support activities for animal production,2013,,,,,,,,,,,,,,,90.047,-11.2,,,,,87.837,-11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.626,-12.2,41.800,-12.0
115210 - Support activities for animal production,2014,,,,,,,,,,,,,,,97.616,8.4,,,,,95.221,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.507,14.5,47.800,14.4
115210 - Support activities for animal production,2015,,,,,,,,,,,,,,,105.148,7.7,,,,,102.567,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.393,-2.1,46.800,-2.1
115210 - Support activities for animal production,2016,,,,,,,,,,,,,,,103.118,-1.9,,,,,100.587,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.335,3.0,48.200,3.0
115210 - Support activities for animal production,2017,,,,,,,,,,,,,,,102.317,-0.8,,,,,99.806,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.904,-0.4,48.000,-0.4
115210 - Support activities for animal production,2018,,,,,,,,,,,,,,,106.046,3.6,,,,,103.443,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.987,4.0,49.900,4.0
115210 - Support activities for animal production,2019,,,,,,,,,,,,,,,102.538,-3.3,,,,,100.022,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.067,-9.4,45.300,-9.2
115210 - Support activities for animal production,2020,,,,,,,,,,,,,,,106.887,4.2,,,,,104.264,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.838,0.8,45.600,0.7
115310 - Support activities for forestry,1987,,,,,,,,,,,,,,,52.469,,,,,,23.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.119,,12.500,
115310 - Support activities for forestry,1988,,,,,,,,,,,,,,,54.493,3.9,,,,,23.957,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.105,3.3,12.900,3.2
115310 - Support activities for forestry,1989,,,,,,,,,,,,,,,62.220,14.2,,,,,27.353,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.813,10.8,14.300,10.9
115310 - Support activities for forestry,1990,,,,,,,,,,,,,,,66.076,6.2,,,,,29.048,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.352,5.1,15.000,4.9
115310 - Support activities for forestry,1991,,,,,,,,,,,,,,,65.562,-0.8,,,,,28.823,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.131,-0.3,15.000,0.0
115310 - Support activities for forestry,1992,,,,,,,,,,,,,,,64.946,-0.9,,,,,28.552,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.433,-1.0,14.900,-0.7
115310 - Support activities for forestry,1993,,,,,,,,,,,,,,,68.336,5.2,,,,,30.042,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.828,4.8,15.600,4.7
115310 - Support activities for forestry,1994,,,,,,,,,,,,,,,71.182,4.2,,,,,31.293,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.488,7.6,16.700,7.1
115310 - Support activities for forestry,1995,,,,,,,,,,,,,,,74.485,4.6,,,,,32.745,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.243,2.2,17.100,2.4
115310 - Support activities for forestry,1996,,,,,,,,,,,,,,,76.076,2.1,,,,,33.445,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.623,2.9,17.600,2.9
115310 - Support activities for forestry,1997,,,,,,,,,,,,,,,79.481,4.5,,,,,34.941,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.335,2.0,18.000,2.3
115310 - Support activities for forestry,1998,,,,,,,,,,,,,,,85.255,7.3,,,,,37.480,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.615,9.6,19.700,9.4
115310 - Support activities for forestry,1999,,,,,,,,,,,,,,,89.777,5.3,,,,,39.468,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.582,5.2,20.700,5.1
115310 - Support activities for forestry,2000,,,,,,,,,,,,,,,94.945,5.8,,,,,41.740,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.543,2.0,21.100,1.9
115310 - Support activities for forestry,2001,,,,,,,,,,,,,,,98.893,4.2,,,,,43.476,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.751,6.1,22.400,6.2
115310 - Support activities for forestry,2002,,,,,,,,,,,,,,,91.989,-7.0,,,,,40.440,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.279,-6.0,21.100,-5.8
115310 - Support activities for forestry,2003,,,,,,,,,,,,,,,103.875,12.9,,,,,45.666,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.617,11.2,23.400,10.9
115310 - Support activities for forestry,2004,,,,,,,,,,,,,,,102.277,-1.5,,,,,44.963,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.632,0.9,23.600,0.9
115310 - Support activities for forestry,2005,,,,,,,,,,,,,,,97.804,-4.4,,,,,42.997,-4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.193,-5.7,22.300,-5.5
115310 - Support activities for forestry,2006,,,,,,,,,,,,,,,99.721,2.0,,,,,43.840,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.347,-1.7,21.900,-1.8
115310 - Support activities for forestry,2007,,,,,,,,,,,,,,,100.000,0.3,,,,,43.962,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.000,-5.1,20.800,-5.0
115310 - Support activities for forestry,2008,,,,,,,,,,,,,,,101.909,1.9,,,,,44.801,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.645,3.6,21.600,3.8
115310 - Support activities for forestry,2009,,,,,,,,,,,,,,,88.832,-12.8,,,,,39.053,-12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.754,-11.5,19.100,-11.6
115310 - Support activities for forestry,2010,,,,,,,,,,,,,,,88.936,0.1,,,,,39.098,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.595,-2.4,18.600,-2.6
115310 - Support activities for forestry,2011,,,,,,,,,,,,,,,83.954,-5.6,,,,,36.908,-5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.595,-1.1,18.400,-1.1
115310 - Support activities for forestry,2012,,,,,,,,,,,,,,,89.938,7.1,,,,,39.539,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.115,6.2,19.600,6.5
115310 - Support activities for forestry,2013,,,,,,,,,,,,,,,84.808,-5.7,,,,,37.284,-5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.292,-6.2,18.400,-6.1
115310 - Support activities for forestry,2014,,,,,,,,,,,,,,,92.788,9.4,,,,,40.792,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.490,12.7,20.700,12.5
115310 - Support activities for forestry,2015,,,,,,,,,,,,,,,97.529,5.1,,,,,42.876,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.586,-1.9,20.300,-1.9
115310 - Support activities for forestry,2016,,,,,,,,,,,,,,,95.617,-2.0,,,,,42.036,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.903,-0.7,20.200,-0.5
115310 - Support activities for forestry,2017,,,,,,,,,,,,,,,96.579,1.0,,,,,42.458,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.745,4.0,21.000,4.0
115310 - Support activities for forestry,2018,,,,,,,,,,,,,,,103.809,7.5,,,,,45.637,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.313,5.5,22.100,5.2
115310 - Support activities for forestry,2019,,,,,,,,,,,,,,,100.014,-3.7,,,,,43.969,-3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.038,-7.8,20.400,-7.7
115310 - Support activities for forestry,2020,,,,,,,,,,,,,,,93.827,-6.2,,,,,41.249,-6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.961,0.9,20.600,1.0
221210 - Natural gas distribution,1987,,,,,,,,,,,,,94.869,,134.569,,5762.056,,,,288.824,,,,,,,,,,,,,,,,,,,,,,127.664,,39.079,,64127.953,,40.907,,52.224,,38.808,,88.262,,144.641,,155.200,
221210 - Natural gas distribution,1988,,,,,,,,,,,,,101.724,7.2,133.218,-1.0,5774.907,0.2,,,285.923,-1.0,,,,,,,,,,,,,,,,,,,,,135.514,6.1,38.710,-0.9,67428.817,5.1,38.624,-5.6,52.340,0.2,39.289,1.2,95.037,7.7,142.591,-1.4,153.000,-1.4
221210 - Natural gas distribution,1989,,,,,,,,,,,,,103.315,1.6,136.746,2.6,5958.340,3.2,,,293.495,2.6,,,,,,,,,,,,,,,,,,,,,141.279,4.3,39.577,2.2,71871.985,6.6,38.224,-1.0,54.003,3.2,39.492,0.5,98.055,3.2,144.082,1.0,154.600,1.0
221210 - Natural gas distribution,1990,,,,,,,,,,,,,98.247,-4.9,139.328,1.9,6328.875,6.2,,,299.037,1.9,,,,,,,,,,,,,,,,,,,,,136.885,-3.1,39.954,1.0,70300.001,-2.2,41.905,9.6,57.361,6.2,41.170,4.2,94.698,-3.4,144.548,0.3,155.100,0.3
221210 - Natural gas distribution,1991,,,,,,,,,,,,,100.247,2.0,140.946,1.2,6837.765,8.0,,,302.510,1.2,,,,,,,,,,,,,,,,,,,,,141.294,3.2,38.611,-3.4,70124.962,-0.2,43.862,4.7,61.974,8.0,43.970,6.8,96.936,2.4,145.760,0.8,156.400,0.8
221210 - Natural gas distribution,1992,,,,,,,,,,,,,104.529,4.3,139.074,-1.3,7514.764,9.9,,,298.493,-1.3,,,,,,,,,,,,,,,,,,,,,145.373,2.9,39.851,3.2,74467.179,6.2,46.852,6.8,68.110,9.9,48.973,11.4,101.289,4.5,143.523,-1.5,154.000,-1.5
221210 - Natural gas distribution,1993,,,,,,,,,,,,,117.199,12.1,138.061,-0.7,7735.557,2.9,,,296.319,-0.7,,,,,,,,,,,,,,,,,,,,,161.806,11.3,42.518,6.7,88431.707,18.8,43.330,-7.5,70.111,2.9,50.782,3.7,114.599,13.1,141.193,-1.6,151.500,-1.6
221210 - Natural gas distribution,1994,,,,,,,,,,,,,128.498,9.6,135.302,-2.0,7790.171,0.7,,,290.396,-2.0,,,,,,,,,,,,,,,,,,,,,173.860,7.4,42.937,1.0,95956.587,8.5,40.611,-6.3,70.606,0.7,52.184,2.8,126.049,10.0,137.931,-2.3,148.000,-2.3
221210 - Natural gas distribution,1995,,,,,,,,,,,,,147.009,14.4,129.255,-4.5,7767.671,-0.3,,,277.418,-4.5,,,,,,,,,,,,,,,,,,,,,190.017,9.3,39.438,-8.1,96326.675,0.4,37.050,-8.8,70.402,-0.3,54.467,4.4,143.684,14.0,132.246,-4.1,141.900,-4.1
221210 - Natural gas distribution,1996,,,,,,,,,,,,,166.695,13.4,124.788,-3.5,7982.547,2.8,,,267.830,-3.5,,,,,,,,,,,,,,,,,,,,,208.015,9.5,44.989,14.1,120292.847,24.9,34.781,-6.1,72.349,2.8,57.978,6.4,163.517,13.8,127.213,-3.8,136.500,-3.8
221210 - Natural gas distribution,1997,,,,,,,,,,,,,183.195,9.9,120.973,-3.1,8269.426,3.6,,,259.643,-3.1,,,,,,,,,,,,,,,,,,,,,221.617,6.5,48.085,6.9,136979.545,13.9,33.819,-2.8,74.949,3.6,61.955,6.9,180.011,10.1,123.113,-3.2,132.100,-3.2
221210 - Natural gas distribution,1998,,,,,,,,,,,,,160.617,-12.3,116.992,-3.3,8244.443,-0.3,,,251.099,-3.3,,,,,,,,,,,,,,,,,,,,,187.910,-15.2,44.478,-7.5,107433.306,-21.6,39.765,17.6,74.723,-0.3,63.870,3.1,156.786,-12.9,119.851,-2.6,128.600,-2.6
221210 - Natural gas distribution,1999,,,,,,,,,,,,,144.959,-9.7,114.492,-2.1,8726.773,5.9,,,245.732,-2.1,,,,,,,,,,,,,,,,,,,,,165.967,-11.7,44.381,-0.2,94680.427,-11.9,47.657,19.8,79.095,5.9,69.083,8.2,141.673,-9.6,117.148,-2.3,125.700,-2.3
